class,species,tt_key,match_route
Amphibia,Fejervarya kawamurai,Fejervarya kawamurai,direct
Amphibia,Fejervarya limnocharis,Fejervarya limnocharis,direct
Amphibia,Fejervarya multistriata,Fejervarya multistriata,direct
Amphibia,Firouzophrynus stomaticus,Duttaphrynus stomaticus,iucn_binomial
Amphibia,Glandirana emeljanovi,Rugosa emelianjovi,iucn_binomial
Amphibia,Glandirana minima,Glandirana minima,direct
Amphibia,Glandirana tientaiensis,Rugosa tiantaiensis,iucn_binomial
Amphibia,Glyphoglossus guttulatus,Calluella guttulata,iucn_binomial
Amphibia,Glyphoglossus yunnanensis,Calluella yunnanensis,iucn_binomial
Amphibia,Gracixalus gracilipes,Gracixalus gracilipes,direct
Amphibia,Gracixalus guangdongensis,,
Amphibia,Gracixalus jinxiuensis,Gracixalus jinxiuensis,direct
Amphibia,Gracixalus medogensis,Gracixalus medogensis,direct
Amphibia,Gracixalus nonggangensis,Gracixalus nonggangensis,direct
Amphibia,Gracixalus quangi,Gracixalus quangi,direct
Amphibia,Gracixalus yunnanensis,,
Amphibia,Hoplobatrachus crassus,Hoplobatrachus crassus,direct
Amphibia,Hoplobatrachus rugulosus,Hoplobatrachus rugulosus,direct
Amphibia,Hoplobatrachus tigerinus,Hoplobatrachus tigerinus,direct
Amphibia,Humerana humeralis,,
Amphibia,Humerana lateralis,Hylarana lateralis,iucn_binomial
Amphibia,Hyla annectans,Hyla annectans,direct
Amphibia,Hyla chinensis,Hyla chinensis,direct
Amphibia,Hyla hallowellii,Hyla hallowellii,direct
Amphibia,Hyla sanchiangensis,Hyla sanchiangensis,direct
Amphibia,Hyla simplex,Hyla simplex,direct
Amphibia,Hyla tsinlingensis,Hyla tsinlingensis,direct
Amphibia,Hyla zhaopingensis,Hyla zhaopingensis,direct
Amphibia,Hylarana annamitica,,
Amphibia,Hylarana cubitalis,Hylarana cubitalis,direct
Amphibia,Hylarana erythraea,Hylarana erythraea,direct
Amphibia,Hylarana guentheri,Hylarana guentheri,direct
Amphibia,Hylarana latouchii,Hylarana latouchii,direct
Amphibia,Hylarana leptoglossa,Hylarana leptoglossa,direct
Amphibia,Hylarana macrodactyla,Hylarana macrodactyla,direct
Amphibia,Hylarana maosonensis,Hylarana maosonensis,direct
Amphibia,Hylarana nicobariensis,Hylarana nicobariensis,direct
Amphibia,Hylarana nigrovittata,Hylarana nigrovittata,direct
Amphibia,Hylarana spinulosa,Hylarana spinulosa,direct
Amphibia,Hylarana taipehensis,Hylarana taipehensis,direct
Amphibia,Hylarana tytleri,Hylarana tytleri,direct
Amphibia,Hynobius amjiensis,Hynobius amjiensis,direct
Amphibia,Hynobius arisanensis,Hynobius arisanensis,direct
Amphibia,Hynobius formosanus,Hynobius formosanus,direct
Amphibia,Hynobius fucus,Hynobius fuca,iucn_binomial
Amphibia,Hynobius glacialis,Hynobius glacialis,direct
Amphibia,Hynobius guabangshanensis,Hynobius guabangshanensis,direct
Amphibia,Hynobius leechii,Hynobius leechii,direct
Amphibia,Hynobius maoershanensis,Hynobius maoershanensis,direct
Amphibia,Hynobius sonani,Hynobius sonani,direct
Amphibia,Hynobius yiwuensis,Hynobius yiwuensis,direct
Amphibia,Hypselotriton chenggongensis,Cynops chenggongensis,iucn_binomial
Amphibia,Hypselotriton cyanurus,Cynops cyanurus,iucn_binomial
Amphibia,Hypselotriton glaucus,Cynops glaucus,gbif_backbone
Amphibia,Hypselotriton orientalis,Cynops orientalis,iucn_binomial
Amphibia,Hypselotriton yunnanensis,,
Amphibia,Ichthyophis bannanicus,Ichthyophis bannanicus,direct
Amphibia,Ingerana borealis,Ingerana borealis,direct
Amphibia,Ingerana reticulata,Ingerana reticulata,direct
Amphibia,Ingerophrynus galeatus,Ingerophrynus galeatus,direct
Amphibia,Ingerophrynus ledongensis,Ingerophrynus ledongensis,direct
Amphibia,Ingerophrynus macrotis,Ingerophrynus macrotis,direct
Amphibia,Kalophrynus interlineatus,Kalophrynus interlineatus,direct
Amphibia,Kaloula borealis,Kaloula borealis,direct
Amphibia,Kaloula mediolineata,Kaloula mediolineata,direct
Amphibia,Kaloula nonggangensis,Kaloula nonggangensis,direct
Amphibia,Kaloula pulchra,Kaloula pulchra,direct
Amphibia,Kaloula rugifera,Kaloula rugifera,direct
Amphibia,Kaloula verrucosa,Kaloula verrucosa,direct
Amphibia,Kurixalus berylliniris,,
Amphibia,Kurixalus eiffingeri,Kurixalus eiffingeri,direct
Amphibia,Kurixalus hainanus,,
Amphibia,Kurixalus idiootocus,Kurixalus idiootocus,direct
Amphibia,Kurixalus lenquanensis,,
Amphibia,Kurixalus naso,Kurixalus naso,direct
Amphibia,Kurixalus odontotarsus,Kurixalus odontotarsus,direct
Amphibia,Kurixalus verrucosus,Kurixalus verrucosus,direct
Amphibia,Kurixalus wangi,,
Amphibia,Kurixalus yangi,,
Amphibia,Leptobrachella alpina,Leptolalax alpinus,iucn_binomial
Amphibia,Leptobrachella eos,Leptolalax eos,iucn_binomial
Amphibia,Leptobrachella laui,,
Amphibia,Leptobrachella liui,Leptolalax liui,iucn_binomial
Amphibia,Leptobrachella mangshanensis,,
Amphibia,Leptobrachella maoershanensis,,
Amphibia,Leptobrachella minima,Leptolalax minimus,iucn_binomial
Amphibia,Leptobrachella oshanensis,Leptolalax oshanensis,iucn_binomial
Amphibia,Leptobrachella petrops,,
Amphibia,Leptobrachella purpurus,,
Amphibia,Leptobrachella shangsiensis,,
Amphibia,Leptobrachella sungi,Leptolalax sungi,iucn_binomial
Amphibia,Leptobrachella tengchongensis,,
Amphibia,Leptobrachella ventripunctata,Leptolalax ventripunctatus,iucn_binomial
Amphibia,Leptobrachium ailaonicum,Leptobrachium ailaonicum,direct
Amphibia,Leptobrachium bompu,Leptobrachium bompu,direct
Amphibia,Leptobrachium boringii,Leptobrachium boringii,direct
Amphibia,Leptobrachium chapaense,Leptobrachium chapaense,direct
Amphibia,Leptobrachium guangxiense,Leptobrachium guangxiense,direct
Amphibia,Leptobrachium hainanense,Leptobrachium hainanense,direct
Amphibia,Leptobrachium huashen,Leptobrachium huashen,direct
Amphibia,Leptobrachium leishanense,Leptobrachium leishanense,direct
Amphibia,Leptobrachium liui,Leptobrachium liui,direct
Amphibia,Leptobrachium promustache,Leptobrachium promustache,direct
Amphibia,Leptobrachium tengchongense,,
Amphibia,Limnonectes bannaensis,Limnonectes bannaensis,direct
Amphibia,Limnonectes fragilis,Limnonectes fragilis,direct
Amphibia,Limnonectes fujianensis,Limnonectes fujianensis,direct
Amphibia,Limnonectes khasianus,Limnonectes khasianus,direct
Amphibia,Limnonectes limborgi,Limnonectes limborgi,direct
Amphibia,Limnonectes longchuanensis,,
Amphibia,Limnonectes taylori,Limnonectes taylori,direct
Amphibia,Liua shihi,Liua shihi,direct
Amphibia,Liua tsinpaensis,Liua tsinpaensis,direct
Amphibia,Liuixalus hainanus,Liuixalus hainanus,direct
Amphibia,Liuixalus ocellatus,Liuixalus ocellatus,direct
Amphibia,Liuixalus shiwandashan,,
Amphibia,Liurana alpina,Ingerana alpina,iucn_binomial
Amphibia,Liurana himalayana,,
Amphibia,Liurana medogensis,Ingerana medogensis,iucn_binomial
Amphibia,Liurana vallecula,,
Amphibia,Liurana xizangensis,Ingerana xizangensis,iucn_binomial
Amphibia,Megophrys acuta,,
Amphibia,Megophrys baolongensis,Xenophrys baolongensis,iucn_binomial
Amphibia,Megophrys binchuanensis,Xenophrys binchuanensis,iucn_binomial
Amphibia,Megophrys binlingensis,Xenophrys binlingensis,iucn_binomial
Amphibia,Megophrys boettgeri,Xenophrys boettgeri,iucn_binomial
Amphibia,Megophrys brachykolos,Xenophrys brachykolos,iucn_binomial
Amphibia,Megophrys caudoprocta,Xenophrys caudoprocta,iucn_binomial
Amphibia,Megophrys cheni,,
Amphibia,Megophrys chuannanensis,Brachytarsophrys chuannanensis,iucn_binomial
Amphibia,Megophrys daweimontis,Xenophrys daweimontis,iucn_binomial
Amphibia,Megophrys feae,Brachytarsophrys feae,iucn_binomial
Amphibia,Megophrys gigantica,Xenophrys gigantica,iucn_binomial
Amphibia,Megophrys glandulosa,Xenophrys glandulosa,iucn_binomial
Amphibia,Megophrys huangshanensis,Xenophrys huangshanensis,iucn_binomial
Amphibia,Megophrys jingdongensis,Xenophrys jingdongensis,iucn_binomial
Amphibia,Megophrys jinggangensis,Xenophrys jinggangensis,iucn_binomial
Amphibia,Megophrys koui,Ophryophryne pachyproctus,iucn_binomial
Amphibia,Megophrys kuatunensis,Xenophrys kuatunensis,iucn_binomial
Amphibia,Megophrys lini,,
Amphibia,Megophrys mangshanensis,Xenophrys mangshanensis,iucn_binomial
Amphibia,Megophrys maosonensis,,
Amphibia,Megophrys medogensis,Xenophrys medogensis,iucn_binomial
Amphibia,Megophrys microstoma,Ophryophryne microstoma,iucn_binomial
Amphibia,Megophrys minor,Xenophrys minor,iucn_binomial
Amphibia,Megophrys nankiangensis,Xenophrys nankiangensis,iucn_binomial
Amphibia,Megophrys obesa,,
Amphibia,Megophrys ombrophila,,
Amphibia,Megophrys omeimontis,Xenophrys omeimontis,iucn_binomial
Amphibia,Megophrys pachyproctus,Xenophrys pachyproctus,iucn_binomial
Amphibia,Megophrys palpebralespinosa,Xenophrys palpebralespinosa,iucn_binomial
Amphibia,Megophrys periosa,,
Amphibia,Megophrys platyparietus,Brachytarsophrys platyparietus,iucn_binomial
Amphibia,Megophrys popei,,
Amphibia,Megophrys robusta,Xenophrys robusta,iucn_binomial
Amphibia,Megophrys rubrimera,,
Amphibia,Megophrys shapingensis,Xenophrys shapingensis,iucn_binomial
Amphibia,Megophrys shuichengensis,Xenophrys shuichengensis,iucn_binomial
Amphibia,Megophrys spinata,Xenophrys spinata,iucn_binomial
Amphibia,Megophrys tuberogranulata,Xenophrys tuberogranulatus,iucn_binomial
Amphibia,Megophrys wawuensis,Xenophrys wawuensis,iucn_binomial
Amphibia,Megophrys wuliangshanensis,Xenophrys wuliangshanensis,iucn_binomial
Amphibia,Megophrys wushanensis,Xenophrys wushanensis,iucn_binomial
Amphibia,Megophrys zhangi,Xenophrys zhangi,iucn_binomial
Amphibia,Microhyla berdmorei,Microhyla berdmorei,direct
Amphibia,Microhyla butleri,Microhyla butleri,direct
Amphibia,Microhyla fissipes,Microhyla fissipes,direct
Amphibia,Microhyla heymonsi,Microhyla heymonsi,direct
Amphibia,Microhyla mixtura,Microhyla mixtura,direct
Amphibia,Microhyla mukhlesuri,Microhyla mukhlesuri,direct
Amphibia,Microhyla mymensinghensis,Microhyla mymensinghensis,direct
Amphibia,Microhyla nilphamariensis,,
Amphibia,Microhyla okinavensis,Microhyla okinavensis,direct
Amphibia,Microhyla pulchra,Microhyla pulchra,direct
Amphibia,Micryletta menglienica,Kalophrynus menglienicus,iucn_binomial
Amphibia,Micryletta steinegeri,Micryletta steinegeri,direct
Amphibia,Minervarya agricola,,
Amphibia,Minervarya nepalensis,Fejervarya nepalensis,iucn_binomial
Amphibia,Minervarya pierrei,Fejervarya pierrei,iucn_binomial
Amphibia,Nanorana aenea,Nanorana aenea,direct
Amphibia,Nanorana annandalii,Nanorana annandalii,direct
Amphibia,Nanorana arnoldi,Nanorana arnoldi,direct
Amphibia,Nanorana arunachalensis,,
Amphibia,Nanorana blanfordii,Nanorana blanfordii,direct
Amphibia,Nanorana chayuensis,Nanorana chayuensis,direct
Amphibia,Nanorana conaensis,Nanorana conaensis,direct
Amphibia,Nanorana kangxianensis,Nanorana kangxianensis,direct
Amphibia,Nanorana liebigii,Nanorana liebigii,direct
Amphibia,Nanorana maculosa,Nanorana maculosa,direct
Amphibia,Nanorana medogensis,Nanorana medogensis,direct
Amphibia,Nanorana minica,Nanorana minica,direct
Amphibia,Nanorana parkeri,Nanorana parkeri,direct
Amphibia,Nanorana phrynoides,,
Amphibia,Nanorana pleskei,Nanorana pleskei,direct
Amphibia,Nanorana polunini,Nanorana polunini,direct
Amphibia,Nanorana quadranus,Nanorana quadranus,direct
Amphibia,Nanorana rostandi,Nanorana rostandi,direct
Amphibia,Nanorana sichuanensis,,
Amphibia,Nanorana taihangnica,Nanorana taihangnica,direct
Amphibia,Nanorana unculuanus,Nanorana unculuanus,direct
Amphibia,Nanorana ventripunctata,Nanorana ventripunctata,direct
Amphibia,Nanorana yunnanensis,Nanorana yunnanensis,direct
Amphibia,Nasutixalus jerdonii,Philautus jerdonii,iucn_binomial
Amphibia,Nidirana adenopleura,Babina adenopleura,iucn_binomial
Amphibia,Nidirana chapaensis,Babina chapaensis,iucn_binomial
Amphibia,Nidirana daunchina,Babina daunchina,iucn_binomial
Amphibia,Nidirana hainanensis,Babina hainanensis,iucn_binomial
Amphibia,Nidirana lini,Babina lini,iucn_binomial
Amphibia,Nidirana pleuraden,Babina pleuraden,iucn_binomial
Amphibia,Occidozyga lima,Occidozyga lima,direct
Amphibia,Occidozyga martensii,Occidozyga martensii,direct
Amphibia,Odorrana amamiensis,Odorrana amamiensis,direct
Amphibia,Odorrana anlungensis,Odorrana anlungensis,direct
Amphibia,Odorrana bacboensis,Odorrana bacboensis,direct
Amphibia,Odorrana cangyuanensis,Rana cangyuanensis,iucn_binomial
Amphibia,Odorrana chapaensis,Odorrana chapaensis,direct
Amphibia,Odorrana chloronota,Odorrana chloronota,direct
Amphibia,Odorrana exiliversabilis,Odorrana exiliversabilis,direct
Amphibia,Odorrana fengkaiensis,,
Amphibia,Odorrana geminata,Odorrana geminata,direct
Amphibia,Odorrana grahami,Odorrana grahami,direct
Amphibia,Odorrana graminea,Odorrana graminea,direct
Amphibia,Odorrana hainanensis,Odorrana hainanensis,direct
Amphibia,Odorrana hejiangensis,Odorrana hejiangensis,direct
Amphibia,Odorrana huanggangensis,Odorrana huanggangensis,direct
Amphibia,Odorrana jingdongensis,Odorrana jingdongensis,direct
Amphibia,Odorrana junlianensis,Odorrana junlianensis,direct
Amphibia,Odorrana kuangwuensis,Odorrana kuangwuensis,direct
Amphibia,Odorrana kweichowensis,,
Amphibia,Odorrana lipuensis,,
Amphibia,Odorrana lungshengensis,Odorrana lungshengensis,direct
Amphibia,Odorrana macrotympana,Odorrana macrotympana,direct
Amphibia,Odorrana margaretae,Odorrana margaretae,direct
Amphibia,Odorrana mutschmanni,,
Amphibia,Odorrana nanjiangensis,Odorrana nanjiangensis,direct
Amphibia,Odorrana nasica,Odorrana nasica,direct
Amphibia,Odorrana nasuta,Odorrana nasuta,direct
Amphibia,Odorrana rotodora,Odorrana rotadora,iucn_binomial
Amphibia,Odorrana schmackeri,Odorrana schmackeri,direct
Amphibia,Odorrana swinhoana,Odorrana swinhoana,direct
Amphibia,Odorrana tianmuii,Odorrana tianmuii,direct
Amphibia,Odorrana tiannanensis,Odorrana tiannanensis,direct
Amphibia,Odorrana tormota,Odorrana tormota,direct
Amphibia,Odorrana versabilis,Odorrana versabilis,direct
Amphibia,Odorrana wuchuanensis,Odorrana wuchuanensis,direct
Amphibia,Odorrana yizhangensis,Odorrana yizhangensis,direct
Amphibia,Odorrana yunnanensis,Odorrana andersonii,iucn_binomial
Amphibia,Odorrana zhaoi,Odorrana zhaoi,direct
Amphibia,Onychodactylus zhangyapingi,Onychodactylus zhangyapingi,direct
Amphibia,Onychodactylus zhaoermii,Onychodactylus zhaoermii,direct
Amphibia,Oreolalax chuanbeiensis,Oreolalax chuanbeiensis,direct
Amphibia,Oreolalax granulosus,Oreolalax granulosus,direct
Amphibia,Oreolalax jingdongensis,Oreolalax jingdongensis,direct
Amphibia,Oreolalax lichuanensis,Oreolalax lichuanensis,direct
Amphibia,Oreolalax major,Oreolalax major,direct
Amphibia,Oreolalax multipunctatus,Oreolalax multipunctatus,direct
Amphibia,Oreolalax nanjiangensis,Oreolalax nanjiangensis,direct
Amphibia,Oreolalax omeimontis,Oreolalax omeimontis,direct
Amphibia,Oreolalax pingii,Oreolalax pingii,direct
Amphibia,Oreolalax popei,Oreolalax popei,direct
Amphibia,Oreolalax puxiongensis,Oreolalax puxiongensis,direct
Amphibia,Oreolalax rhodostigmatus,Oreolalax rhodostigmatus,direct
Amphibia,Oreolalax rugosus,Oreolalax rugosus,direct
Amphibia,Oreolalax schmidti,Oreolalax schmidti,direct
Amphibia,Oreolalax xiangchengensis,Oreolalax xiangchengensis,direct
Amphibia,Pachyhynobius shangchengensis,Pachyhynobius shangchengensis,direct
Amphibia,Pachytriton archospotus,Pachytriton archospotus,direct
Amphibia,Pachytriton brevipes,Pachytriton brevipes,direct
Amphibia,Pachytriton changi,Pachytriton changi,direct
Amphibia,Pachytriton feii,Pachytriton feii,direct
Amphibia,Pachytriton granulosus,Pachytriton granulosus,direct
Amphibia,Pachytriton inexpectatus,Pachytriton inexpectatus,direct
Amphibia,Pachytriton moi,Pachytriton moi,direct
Amphibia,Pachytriton wuguanfui,,
Amphibia,Papurana milleti,Hylarana milleti,iucn_binomial
Amphibia,Paramesotriton aurantius,,
Amphibia,Paramesotriton caudopunctatus,Paramesotriton caudopunctatus,direct
Amphibia,Paramesotriton chinensis,Paramesotriton chinensis,direct
Amphibia,Paramesotriton deloustali,Paramesotriton deloustali,direct
Amphibia,Paramesotriton fuzhongensis,Paramesotriton fuzhongensis,direct
Amphibia,Paramesotriton guangxiensis,Paramesotriton guanxiensis,iucn_binomial
Amphibia,Paramesotriton hongkongensis,Paramesotriton hongkongensis,direct
Amphibia,Paramesotriton labiatus,Paramesotriton labiatus,direct
Amphibia,Paramesotriton longliensis,Paramesotriton longliensis,direct
Amphibia,Paramesotriton qixilingensis,,
Amphibia,Paramesotriton wulingensis,Paramesotriton wulingensis,direct
Amphibia,Paramesotriton yunwuensis,Paramesotriton yunwuensis,direct
Amphibia,Paramesotriton zhijinensis,Paramesotriton zhijinensis,direct
Amphibia,Parapelophryne scalpta,Parapelophryne scalpta,direct
Amphibia,Pelophylax chosenicus,Pelophylax chosenicus,direct
Amphibia,Pelophylax fukienensis,Pelophylax fukienensis,direct
Amphibia,Pelophylax nigromaculatus,Pelophylax nigromaculatus,direct
Amphibia,Pelophylax plancyi,Pelophylax plancyi,direct
Amphibia,Pelophylax tenggerensis,Pelophylax tenggerensis,direct
Amphibia,Pelophylax terentievi,Pelophylax terentievi,direct
Amphibia,Philautus kempii,Philautus kempii,direct
Amphibia,Polypedates assamensis,Polypedates assamensis,direct
Amphibia,Polypedates braueri,Polypedates braueri,direct
Amphibia,Polypedates himalayensis,,
Amphibia,Polypedates impresus,Polypedates impresus,direct
Amphibia,Polypedates leucomystax,Polypedates leucomystax,direct
Amphibia,Polypedates megacephalus,Polypedates megacephalus,direct
Amphibia,Polypedates mutus,Polypedates mutus,direct
Amphibia,Polypedates subansiriensis,Polypedates subansiriensis,direct
Amphibia,Polypedates taeniatus,Polypedates taeniatus,direct
Amphibia,Polypedates teraiensis,Polypedates teraiensis,direct
Amphibia,Pseudohynobius flavomaculatus,Pseudohynobius flavomaculatus,direct
Amphibia,Pseudohynobius guizhouensis,Pseudohynobius guizhouensis,direct
Amphibia,Pseudohynobius kuankuoshuiensis,Pseudohynobius kuankuoshuiensis,direct
Amphibia,Pseudohynobius puxiongensis,Pseudohynobius puxiongensis,direct
Amphibia,Pseudohynobius shuichengensis,Pseudohynobius shuichengensis,direct
Amphibia,Pseudorana weiningensis,Rana weiningensis,iucn_binomial
Amphibia,Pterorana khare,Pterorana khare,direct
Amphibia,Quasipaa boulengeri,Quasipaa boulengeri,direct
Amphibia,Quasipaa delacouri,Quasipaa delacouri,direct
Amphibia,Quasipaa exilispinosa,Quasipaa exilispinosa,direct
Amphibia,Quasipaa jiulongensis,Quasipaa jiulongensis,direct
Amphibia,Quasipaa shini,Quasipaa shini,direct
Amphibia,Quasipaa spinosa,Quasipaa spinosa,direct
Amphibia,Quasipaa verrucospinosa,Quasipaa verrucospinosa,direct
Amphibia,Quasipaa yei,Quasipaa yei,direct
Amphibia,Rana amurensis,Rana amurensis,direct
Amphibia,Rana arvalis,Rana arvalis,direct
Amphibia,Rana asiatica,Rana asiatica,direct
Amphibia,Rana chaochiaoensis,Rana chaochiaoensis,direct
Amphibia,Rana chensinensis,Rana chensinensis,direct
Amphibia,Rana coreana,Rana coreana,direct
Amphibia,Rana dabieshanensis,,
Amphibia,Rana dybowskii,Rana dybowskii,direct
Amphibia,Rana hanluica,Rana hanluica,direct
Amphibia,Rana huanrensis,Rana huanrensis,direct
Amphibia,Rana johnsi,Rana johnsi,direct
Amphibia,Rana kobai,Rana kobai,direct
Amphibia,Rana kukunoris,Rana kukunoris,direct
Amphibia,Rana longicrus,Rana longicrus,direct
Amphibia,Rana omeimontis,Rana omeimontis,direct
Amphibia,Rana qianjiang,,
Amphibia,Rana sangzhiensis,Rana sangzhiensis,direct
Amphibia,Rana sauteri,Rana sauteri,direct
Amphibia,Rana shuchinae,Rana shuchinae,direct
Amphibia,Rana uenoi,,
Amphibia,Rana zhenhaiensis,Rana zhenhaiensis,direct
Amphibia,Ranodon sibiricus,Ranodon sibiricus,direct
Amphibia,Raorchestes andersoni,Theloderma andersoni,iucn_binomial
Amphibia,Raorchestes annandalii,Pseudophilautus annandalii,iucn_binomial
Amphibia,Raorchestes longchuanensis,Raorchestes longchuanensis,direct
Amphibia,Raorchestes menglaensis,Raorchestes menglaensis,direct
Amphibia,Raorchestes parvulus,Raorchestes parvulus,direct
Amphibia,Rhacophorus bipunctatus,Rhacophorus bipunctatus,direct
Amphibia,Rhacophorus hoanglienensis,Rhacophorus hoanglienensis,direct
Amphibia,Rhacophorus kio,Rhacophorus kio,direct
Amphibia,Rhacophorus rhodopus,Rhacophorus rhodopus,direct
Amphibia,Rhacophorus translineatus,Rhacophorus translineatus,direct
Amphibia,Rhacophorus tuberculatus,Rhacophorus tuberculatus,direct
Amphibia,Rhacophorus vanbanicus,,
Amphibia,Rhacophorus verrucopus,Rhacophorus verrucopus,direct
Amphibia,Rhacophorus viridimaculatus,,
Amphibia,Rohanixalus shyamrupus,Chiromantis shyamrupus,iucn_binomial
Amphibia,Rohanixalus vittatus,Chiromantis vittatus,iucn_binomial
Amphibia,Salamandrella keyserlingii,Salamandrella keyserlingii,direct
Amphibia,Salamandrella tridactyla,Salamandrella tridactyla,direct
Amphibia,Scutiger adungensis,Scutiger adungensis,direct
Amphibia,Scutiger boulengeri,Scutiger boulengeri,direct
Amphibia,Scutiger brevipes,Scutiger brevipes,direct
Amphibia,Scutiger chintingensis,Scutiger chintingensis,direct
Amphibia,Scutiger glandulatus,Scutiger glandulatus,direct
Amphibia,Scutiger gongshanensis,Scutiger gongshanensis,direct
Amphibia,Scutiger jiulongensis,Scutiger jiulongensis,direct
Amphibia,Scutiger liupanensis,Scutiger liupanensis,direct
Amphibia,Scutiger mammatus,Scutiger mammatus,direct
Amphibia,Scutiger muliensis,Scutiger muliensis,direct
Amphibia,Scutiger ningshanensis,Scutiger ningshanensis,direct
Amphibia,Scutiger nyingchiensis,Scutiger nyingchiensis,direct
Amphibia,Scutiger pingwuensis,Scutiger pingwuensis,direct
Amphibia,Scutiger sikimmensis,Scutiger sikimmensis,direct
Amphibia,Scutiger tuberculatus,Scutiger tuberculatus,direct
Amphibia,Scutiger wanglangensis,Scutiger wanglangensis,direct
Amphibia,Sphaerotheca maskeyi,Sphaerotheca maskeyi,direct
Amphibia,Strauchbufo raddei,Strauchbufo raddei,direct
Amphibia,Theloderma albopunctatum,,
Amphibia,Theloderma baibungense,,
Amphibia,Theloderma bicolor,Theloderma bicolor,direct
